"","survived","age","sex","class"
"1",1,1,1,1
"2",1,1,1,1
"3",1,1,1,1
"4",1,1,1,1
"5",1,1,1,1
"6",1,1,1,1
"7",1,1,1,1
"8",1,1,1,1
"9",1,1,1,1
"10",1,1,1,1
"11",1,1,1,1
"12",1,1,1,1
"13",1,1,1,1
"14",1,1,1,1
"15",1,1,1,1
"16",1,1,1,1
"17",1,1,1,1
"18",1,1,1,1
"19",1,1,1,1
"20",1,1,1,1
"21",1,1,1,1
"22",1,1,1,1
"23",1,1,1,1
"24",1,1,1,1
"25",1,1,1,1
"26",1,1,1,1
"27",1,1,1,1
"28",1,1,1,1
"29",1,1,1,1
"30",1,1,1,1
"31",1,1,1,1
"32",1,1,1,1
"33",1,1,1,1
"34",1,1,1,1
"35",1,1,1,1
"36",1,1,1,1
"37",1,1,1,1
"38",1,1,1,1
"39",1,1,1,1
"40",1,1,1,1
"41",1,1,1,1
"42",1,1,1,1
"43",1,1,1,1
"44",1,1,1,1
"45",1,1,1,1
"46",1,1,1,1
"47",1,1,1,1
"48",1,1,1,1
"49",1,1,1,1
"50",1,1,1,1
"51",1,1,1,1
"52",1,1,1,1
"53",1,1,1,1
"54",1,1,1,1
"55",1,1,1,1
"56",1,1,1,1
"57",1,1,1,1
"58",0,1,1,1
"59",0,1,1,1
"60",0,1,1,1
"61",0,1,1,1
"62",0,1,1,1
"63",0,1,1,1
"64",0,1,1,1
"65",0,1,1,1
"66",0,1,1,1
"67",0,1,1,1
"68",0,1,1,1
"69",0,1,1,1
"70",0,1,1,1
"71",0,1,1,1
"72",0,1,1,1
"73",0,1,1,1
"74",0,1,1,1
"75",0,1,1,1
"76",0,1,1,1
"77",0,1,1,1
"78",0,1,1,1
"79",0,1,1,1
"80",0,1,1,1
"81",0,1,1,1
"82",0,1,1,1
"83",0,1,1,1
"84",0,1,1,1
"85",0,1,1,1
"86",0,1,1,1
"87",0,1,1,1
"88",0,1,1,1
"89",0,1,1,1
"90",0,1,1,1
"91",0,1,1,1
"92",0,1,1,1
"93",0,1,1,1
"94",0,1,1,1
"95",0,1,1,1
"96",0,1,1,1
"97",0,1,1,1
"98",0,1,1,1
"99",0,1,1,1
"100",0,1,1,1
"101",0,1,1,1
"102",0,1,1,1
"103",0,1,1,1
"104",0,1,1,1
"105",0,1,1,1
"106",0,1,1,1
"107",0,1,1,1
"108",0,1,1,1
"109",0,1,1,1
"110",0,1,1,1
"111",0,1,1,1
"112",0,1,1,1
"113",0,1,1,1
"114",0,1,1,1
"115",0,1,1,1
"116",0,1,1,1
"117",0,1,1,1
"118",0,1,1,1
"119",0,1,1,1
"120",0,1,1,1
"121",0,1,1,1
"122",0,1,1,1
"123",0,1,1,1
"124",0,1,1,1
"125",0,1,1,1
"126",0,1,1,1
"127",0,1,1,1
"128",0,1,1,1
"129",0,1,1,1
"130",0,1,1,1
"131",0,1,1,1
"132",0,1,1,1
"133",0,1,1,1
"134",0,1,1,1
"135",0,1,1,1
"136",0,1,1,1
"137",0,1,1,1
"138",0,1,1,1
"139",0,1,1,1
"140",0,1,1,1
"141",0,1,1,1
"142",0,1,1,1
"143",0,1,1,1
"144",0,1,1,1
"145",0,1,1,1
"146",0,1,1,1
"147",0,1,1,1
"148",0,1,1,1
"149",0,1,1,1
"150",0,1,1,1
"151",0,1,1,1
"152",0,1,1,1
"153",0,1,1,1
"154",0,1,1,1
"155",0,1,1,1
"156",0,1,1,1
"157",0,1,1,1
"158",0,1,1,1
"159",0,1,1,1
"160",0,1,1,1
"161",0,1,1,1
"162",0,1,1,1
"163",0,1,1,1
"164",0,1,1,1
"165",0,1,1,1
"166",0,1,1,1
"167",0,1,1,1
"168",0,1,1,1
"169",0,1,1,1
"170",0,1,1,1
"171",0,1,1,1
"172",0,1,1,1
"173",0,1,1,1
"174",0,1,1,1
"175",0,1,1,1
"176",1,1,0,1
"177",1,1,0,1
"178",1,1,0,1
"179",1,1,0,1
"180",1,1,0,1
"181",1,1,0,1
"182",1,1,0,1
"183",1,1,0,1
"184",1,1,0,1
"185",1,1,0,1
"186",1,1,0,1
"187",1,1,0,1
"188",1,1,0,1
"189",1,1,0,1
"190",1,1,0,1
"191",1,1,0,1
"192",1,1,0,1
"193",1,1,0,1
"194",1,1,0,1
"195",1,1,0,1
"196",1,1,0,1
"197",1,1,0,1
"198",1,1,0,1
"199",1,1,0,1
"200",1,1,0,1
"201",1,1,0,1
"202",1,1,0,1
"203",1,1,0,1
"204",1,1,0,1
"205",1,1,0,1
"206",1,1,0,1
"207",1,1,0,1
"208",1,1,0,1
"209",1,1,0,1
"210",1,1,0,1
"211",1,1,0,1
"212",1,1,0,1
"213",1,1,0,1
"214",1,1,0,1
"215",1,1,0,1
"216",1,1,0,1
"217",1,1,0,1
"218",1,1,0,1
"219",1,1,0,1
"220",1,1,0,1
"221",1,1,0,1
"222",1,1,0,1
"223",1,1,0,1
"224",1,1,0,1
"225",1,1,0,1
"226",1,1,0,1
"227",1,1,0,1
"228",1,1,0,1
"229",1,1,0,1
"230",1,1,0,1
"231",1,1,0,1
"232",1,1,0,1
"233",1,1,0,1
"234",1,1,0,1
"235",1,1,0,1
"236",1,1,0,1
"237",1,1,0,1
"238",1,1,0,1
"239",1,1,0,1
"240",1,1,0,1
"241",1,1,0,1
"242",1,1,0,1
"243",1,1,0,1
"244",1,1,0,1
"245",1,1,0,1
"246",1,1,0,1
"247",1,1,0,1
"248",1,1,0,1
"249",1,1,0,1
"250",1,1,0,1
"251",1,1,0,1
"252",1,1,0,1
"253",1,1,0,1
"254",1,1,0,1
"255",1,1,0,1
"256",1,1,0,1
"257",1,1,0,1
"258",1,1,0,1
"259",1,1,0,1
"260",1,1,0,1
"261",1,1,0,1
"262",1,1,0,1
"263",1,1,0,1
"264",1,1,0,1
"265",1,1,0,1
"266",1,1,0,1
"267",1,1,0,1
"268",1,1,0,1
"269",1,1,0,1
"270",1,1,0,1
"271",1,1,0,1
"272",1,1,0,1
"273",1,1,0,1
"274",1,1,0,1
"275",1,1,0,1
"276",1,1,0,1
"277",1,1,0,1
"278",1,1,0,1
"279",1,1,0,1
"280",1,1,0,1
"281",1,1,0,1
"282",1,1,0,1
"283",1,1,0,1
"284",1,1,0,1
"285",1,1,0,1
"286",1,1,0,1
"287",1,1,0,1
"288",1,1,0,1
"289",1,1,0,1
"290",1,1,0,1
"291",1,1,0,1
"292",1,1,0,1
"293",1,1,0,1
"294",1,1,0,1
"295",1,1,0,1
"296",1,1,0,1
"297",1,1,0,1
"298",1,1,0,1
"299",1,1,0,1
"300",1,1,0,1
"301",1,1,0,1
"302",1,1,0,1
"303",1,1,0,1
"304",1,1,0,1
"305",1,1,0,1
"306",1,1,0,1
"307",1,1,0,1
"308",1,1,0,1
"309",1,1,0,1
"310",1,1,0,1
"311",1,1,0,1
"312",1,1,0,1
"313",1,1,0,1
"314",1,1,0,1
"315",1,1,0,1
"316",0,1,0,1
"317",0,1,0,1
"318",0,1,0,1
"319",0,1,0,1
"320",1,0,1,1
"321",1,0,1,1
"322",1,0,1,1
"323",1,0,1,1
"324",1,0,1,1
"325",1,0,0,1
"326",1,1,1,2
"327",1,1,1,2
"328",1,1,1,2
"329",1,1,1,2
"330",1,1,1,2
"331",1,1,1,2
"332",1,1,1,2
"333",1,1,1,2
"334",1,1,1,2
"335",1,1,1,2
"336",1,1,1,2
"337",1,1,1,2
"338",1,1,1,2
"339",1,1,1,2
"340",0,1,1,2
"341",0,1,1,2
"342",0,1,1,2
"343",0,1,1,2
"344",0,1,1,2
"345",0,1,1,2
"346",0,1,1,2
"347",0,1,1,2
"348",0,1,1,2
"349",0,1,1,2
"350",0,1,1,2
"351",0,1,1,2
"352",0,1,1,2
"353",0,1,1,2
"354",0,1,1,2
"355",0,1,1,2
"356",0,1,1,2
"357",0,1,1,2
"358",0,1,1,2
"359",0,1,1,2
"360",0,1,1,2
"361",0,1,1,2
"362",0,1,1,2
"363",0,1,1,2
"364",0,1,1,2
"365",0,1,1,2
"366",0,1,1,2
"367",0,1,1,2
"368",0,1,1,2
"369",0,1,1,2
"370",0,1,1,2
"371",0,1,1,2
"372",0,1,1,2
"373",0,1,1,2
"374",0,1,1,2
"375",0,1,1,2
"376",0,1,1,2
"377",0,1,1,2
"378",0,1,1,2
"379",0,1,1,2
"380",0,1,1,2
"381",0,1,1,2
"382",0,1,1,2
"383",0,1,1,2
"384",0,1,1,2
"385",0,1,1,2
"386",0,1,1,2
"387",0,1,1,2
"388",0,1,1,2
"389",0,1,1,2
"390",0,1,1,2
"391",0,1,1,2
"392",0,1,1,2
"393",0,1,1,2
"394",0,1,1,2
"395",0,1,1,2
"396",0,1,1,2
"397",0,1,1,2
"398",0,1,1,2
"399",0,1,1,2
"400",0,1,1,2
"401",0,1,1,2
"402",0,1,1,2
"403",0,1,1,2
"404",0,1,1,2
"405",0,1,1,2
"406",0,1,1,2
"407",0,1,1,2
"408",0,1,1,2
"409",0,1,1,2
"410",0,1,1,2
"411",0,1,1,2
"412",0,1,1,2
"413",0,1,1,2
"414",0,1,1,2
"415",0,1,1,2
"416",0,1,1,2
"417",0,1,1,2
"418",0,1,1,2
"419",0,1,1,2
"420",0,1,1,2
"421",0,1,1,2
"422",0,1,1,2
"423",0,1,1,2
"424",0,1,1,2
"425",0,1,1,2
"426",0,1,1,2
"427",0,1,1,2
"428",0,1,1,2
"429",0,1,1,2
"430",0,1,1,2
"431",0,1,1,2
"432",0,1,1,2
"433",0,1,1,2
"434",0,1,1,2
"435",0,1,1,2
"436",0,1,1,2
"437",0,1,1,2
"438",0,1,1,2
"439",0,1,1,2
"440",0,1,1,2
"441",0,1,1,2
"442",0,1,1,2
"443",0,1,1,2
"444",0,1,1,2
"445",0,1,1,2
"446",0,1,1,2
"447",0,1,1,2
"448",0,1,1,2
"449",0,1,1,2
"450",0,1,1,2
"451",0,1,1,2
"452",0,1,1,2
"453",0,1,1,2
"454",0,1,1,2
"455",0,1,1,2
"456",0,1,1,2
"457",0,1,1,2
"458",0,1,1,2
"459",0,1,1,2
"460",0,1,1,2
"461",0,1,1,2
"462",0,1,1,2
"463",0,1,1,2
"464",0,1,1,2
"465",0,1,1,2
"466",0,1,1,2
"467",0,1,1,2
"468",0,1,1,2
"469",0,1,1,2
"470",0,1,1,2
"471",0,1,1,2
"472",0,1,1,2
"473",0,1,1,2
"474",0,1,1,2
"475",0,1,1,2
"476",0,1,1,2
"477",0,1,1,2
"478",0,1,1,2
"479",0,1,1,2
"480",0,1,1,2
"481",0,1,1,2
"482",0,1,1,2
"483",0,1,1,2
"484",0,1,1,2
"485",0,1,1,2
"486",0,1,1,2
"487",0,1,1,2
"488",0,1,1,2
"489",0,1,1,2
"490",0,1,1,2
"491",0,1,1,2
"492",0,1,1,2
"493",0,1,1,2
"494",1,1,0,2
"495",1,1,0,2
"496",1,1,0,2
"497",1,1,0,2
"498",1,1,0,2
"499",1,1,0,2
"500",1,1,0,2
"501",1,1,0,2
"502",1,1,0,2
"503",1,1,0,2
"504",1,1,0,2
"505",1,1,0,2
"506",1,1,0,2
"507",1,1,0,2
"508",1,1,0,2
"509",1,1,0,2
"510",1,1,0,2
"511",1,1,0,2
"512",1,1,0,2
"513",1,1,0,2
"514",1,1,0,2
"515",1,1,0,2
"516",1,1,0,2
"517",1,1,0,2
"518",1,1,0,2
"519",1,1,0,2
"520",1,1,0,2
"521",1,1,0,2
"522",1,1,0,2
"523",1,1,0,2
"524",1,1,0,2
"525",1,1,0,2
"526",1,1,0,2
"527",1,1,0,2
"528",1,1,0,2
"529",1,1,0,2
"530",1,1,0,2
"531",1,1,0,2
"532",1,1,0,2
"533",1,1,0,2
"534",1,1,0,2
"535",1,1,0,2
"536",1,1,0,2
"537",1,1,0,2
"538",1,1,0,2
"539",1,1,0,2
"540",1,1,0,2
"541",1,1,0,2
"542",1,1,0,2
"543",1,1,0,2
"544",1,1,0,2
"545",1,1,0,2
"546",1,1,0,2
"547",1,1,0,2
"548",1,1,0,2
"549",1,1,0,2
"550",1,1,0,2
"551",1,1,0,2
"552",1,1,0,2
"553",1,1,0,2
"554",1,1,0,2
"555",1,1,0,2
"556",1,1,0,2
"557",1,1,0,2
"558",1,1,0,2
"559",1,1,0,2
"560",1,1,0,2
"561",1,1,0,2
"562",1,1,0,2
"563",1,1,0,2
"564",1,1,0,2
"565",1,1,0,2
"566",1,1,0,2
"567",1,1,0,2
"568",1,1,0,2
"569",1,1,0,2
"570",1,1,0,2
"571",1,1,0,2
"572",1,1,0,2
"573",1,1,0,2
"574",0,1,0,2
"575",0,1,0,2
"576",0,1,0,2
"577",0,1,0,2
"578",0,1,0,2
"579",0,1,0,2
"580",0,1,0,2
"581",0,1,0,2
"582",0,1,0,2
"583",0,1,0,2
"584",0,1,0,2
"585",0,1,0,2
"586",0,1,0,2
"587",1,0,1,2
"588",1,0,1,2
"589",1,0,1,2
"590",1,0,1,2
"591",1,0,1,2
"592",1,0,1,2
"593",1,0,1,2
"594",1,0,1,2
"595",1,0,1,2
"596",1,0,1,2
"597",1,0,1,2
"598",1,0,0,2
"599",1,0,0,2
"600",1,0,0,2
"601",1,0,0,2
"602",1,0,0,2
"603",1,0,0,2
"604",1,0,0,2
"605",1,0,0,2
"606",1,0,0,2
"607",1,0,0,2
"608",1,0,0,2
"609",1,0,0,2
"610",1,0,0,2
"611",1,1,1,3
"612",1,1,1,3
"613",1,1,1,3
"614",1,1,1,3
"615",1,1,1,3
"616",1,1,1,3
"617",1,1,1,3
"618",1,1,1,3
"619",1,1,1,3
"620",1,1,1,3
"621",1,1,1,3
"622",1,1,1,3
"623",1,1,1,3
"624",1,1,1,3
"625",1,1,1,3
"626",1,1,1,3
"627",1,1,1,3
"628",1,1,1,3
"629",1,1,1,3
"630",1,1,1,3
"631",1,1,1,3
"632",1,1,1,3
"633",1,1,1,3
"634",1,1,1,3
"635",1,1,1,3
"636",1,1,1,3
"637",1,1,1,3
"638",1,1,1,3
"639",1,1,1,3
"640",1,1,1,3
"641",1,1,1,3
"642",1,1,1,3
"643",1,1,1,3
"644",1,1,1,3
"645",1,1,1,3
"646",1,1,1,3
"647",1,1,1,3
"648",1,1,1,3
"649",1,1,1,3
"650",1,1,1,3
"651",1,1,1,3
"652",1,1,1,3
"653",1,1,1,3
"654",1,1,1,3
"655",1,1,1,3
"656",1,1,1,3
"657",1,1,1,3
"658",1,1,1,3
"659",1,1,1,3
"660",1,1,1,3
"661",1,1,1,3
"662",1,1,1,3
"663",1,1,1,3
"664",1,1,1,3
"665",1,1,1,3
"666",1,1,1,3
"667",1,1,1,3
"668",1,1,1,3
"669",1,1,1,3
"670",1,1,1,3
"671",1,1,1,3
"672",1,1,1,3
