time,UKDriverDeaths
1969,1687
1969.083333,1508
1969.166667,1507
1969.25,1385
1969.333333,1632
1969.416667,1511
1969.5,1559
1969.583333,1630
1969.666667,1579
1969.75,1653
1969.833333,2152
1969.916667,2148
1970,1752
1970.083333,1765
1970.166667,1717
1970.25,1558
1970.333333,1575
1970.416667,1520
1970.5,1805
1970.583333,1800
1970.666667,1719
1970.75,2008
1970.833333,2242
1970.916667,2478
1971,2030
1971.083333,1655
1971.166667,1693
1971.25,1623
1971.333333,1805
1971.416667,1746
1971.5,1795
1971.583333,1926
1971.666667,1619
1971.75,1992
1971.833333,2233
1971.916667,2192
1972,2080
1972.083333,1768
1972.166667,1835
1972.25,1569
1972.333333,1976
1972.416667,1853
1972.5,1965
1972.583333,1689
1972.666667,1778
1972.75,1976
1972.833333,2397
1972.916667,2654
1973,2097
1973.083333,1963
1973.166667,1677
1973.25,1941
1973.333333,2003
1973.416667,1813
1973.5,2012
1973.583333,1912
1973.666667,2084
1973.75,2080
1973.833333,2118
1973.916667,2150
1974,1608
1974.083333,1503
1974.166667,1548
1974.25,1382
1974.333333,1731
1974.416667,1798
1974.5,1779
1974.583333,1887
1974.666667,2004
1974.75,2077
1974.833333,2092
1974.916667,2051
1975,1577
1975.083333,1356
1975.166667,1652
1975.25,1382
1975.333333,1519
1975.416667,1421
1975.5,1442
1975.583333,1543
1975.666667,1656
1975.75,1561
1975.833333,1905
1975.916667,2199
1976,1473
1976.083333,1655
1976.166667,1407
1976.25,1395
1976.333333,1530
1976.416667,1309
1976.5,1526
1976.583333,1327
1976.666667,1627
1976.75,1748
1976.833333,1958
1976.916667,2274
1977,1648
1977.083333,1401
1977.166667,1411
1977.25,1403
1977.333333,1394
1977.416667,1520
1977.5,1528
1977.583333,1643
1977.666667,1515
1977.75,1685
1977.833333,2000
1977.916667,2215
1978,1956
1978.083333,1462
1978.166667,1563
1978.25,1459
1978.333333,1446
1978.416667,1622
1978.5,1657
1978.583333,1638
1978.666667,1643
1978.75,1683
1978.833333,2050
1978.916667,2262
1979,1813
1979.083333,1445
1979.166667,1762
1979.25,1461
1979.333333,1556
1979.416667,1431
1979.5,1427
1979.583333,1554
1979.666667,1645
1979.75,1653
1979.833333,2016
1979.916667,2207
1980,1665
1980.083333,1361
1980.166667,1506
1980.25,1360
1980.333333,1453
1980.416667,1522
1980.5,1460
1980.583333,1552
1980.666667,1548
1980.75,1827
1980.833333,1737
1980.916667,1941
1981,1474
1981.083333,1458
1981.166667,1542
1981.25,1404
1981.333333,1522
1981.416667,1385
1981.5,1641
1981.583333,1510
1981.666667,1681
1981.75,1938
1981.833333,1868
1981.916667,1726
1982,1456
1982.083333,1445
1982.166667,1456
1982.25,1365
1982.333333,1487
1982.416667,1558
1982.5,1488
1982.583333,1684
1982.666667,1594
1982.75,1850
1982.833333,1998
1982.916667,2079
1983,1494
1983.083333,1057
1983.166667,1218
1983.25,1168
1983.333333,1236
1983.416667,1076
1983.5,1174
1983.583333,1139
1983.666667,1427
1983.75,1487
1983.833333,1483
1983.916667,1513
1984,1357
1984.083333,1165
1984.166667,1282
1984.25,1110
1984.333333,1297
1984.416667,1185
1984.5,1222
1984.583333,1284
1984.666667,1444
1984.75,1575
1984.833333,1737
1984.916667,1763