time,nottem
1920,40.6
1920.083333,40.8
1920.166667,44.4
1920.25,46.7
1920.333333,54.1
1920.416667,58.5
1920.5,57.7
1920.583333,56.4
1920.666667,54.3
1920.75,50.5
1920.833333,42.9
1920.916667,39.8
1921,44.2
1921.083333,39.8
1921.166667,45.1
1921.25,47
1921.333333,54.1
1921.416667,58.7
1921.5,66.3
1921.583333,59.9
1921.666667,57
1921.75,54.2
1921.833333,39.7
1921.916667,42.8
1922,37.5
1922.083333,38.7
1922.166667,39.5
1922.25,42.1
1922.333333,55.7
1922.416667,57.8
1922.5,56.8
1922.583333,54.3
1922.666667,54.3
1922.75,47.1
1922.833333,41.8
1922.916667,41.7
1923,41.8
1923.083333,40.1
1923.166667,42.9
1923.25,45.8
1923.333333,49.2
1923.416667,52.7
1923.5,64.2
1923.583333,59.6
1923.666667,54.4
1923.75,49.2
1923.833333,36.3
1923.916667,37.6
1924,39.3
1924.083333,37.5
1924.166667,38.3
1924.25,45.5
1924.333333,53.2
1924.416667,57.7
1924.5,60.8
1924.583333,58.2
1924.666667,56.4
1924.75,49.8
1924.833333,44.4
1924.916667,43.6
1925,40
1925.083333,40.5
1925.166667,40.8
1925.25,45.1
1925.333333,53.8
1925.416667,59.4
1925.5,63.5
1925.583333,61
1925.666667,53
1925.75,50
1925.833333,38.1
1925.916667,36.3
1926,39.2
1926.083333,43.4
1926.166667,43.4
1926.25,48.9
1926.333333,50.6
1926.416667,56.8
1926.5,62.5
1926.583333,62
1926.666667,57.5
1926.75,46.7
1926.833333,41.6
1926.916667,39.8
1927,39.4
1927.083333,38.5
1927.166667,45.3
1927.25,47.1
1927.333333,51.7
1927.416667,55
1927.5,60.4
1927.583333,60.5
1927.666667,54.7
1927.75,50.3
1927.833333,42.3
1927.916667,35.2
1928,40.8
1928.083333,41.1
1928.166667,42.8
1928.25,47.3
1928.333333,50.9
1928.416667,56.4
1928.5,62.2
1928.583333,60.5
1928.666667,55.4
1928.75,50.2
1928.833333,43
1928.916667,37.3
1929,34.8
1929.083333,31.3
1929.166667,41
1929.25,43.9
1929.333333,53.1
1929.416667,56.9
1929.5,62.5
1929.583333,60.3
1929.666667,59.8
1929.75,49.2
1929.833333,42.9
1929.916667,41.9
1930,41.6
1930.083333,37.1
1930.166667,41.2
1930.25,46.9
1930.333333,51.2
1930.416667,60.4
1930.5,60.1
1930.583333,61.6
1930.666667,57
1930.75,50.9
1930.833333,43
1930.916667,38.8
1931,37.1
1931.083333,38.4
1931.166667,38.4
1931.25,46.5
1931.333333,53.5
1931.416667,58.4
1931.5,60.6
1931.583333,58.2
1931.666667,53.8
1931.75,46.6
1931.833333,45.5
1931.916667,40.6
1932,42.4
1932.083333,38.4
1932.166667,40.3
1932.25,44.6
1932.333333,50.9
1932.416667,57
1932.5,62.1
1932.583333,63.5
1932.666667,56.3
1932.75,47.3
1932.833333,43.6
1932.916667,41.8
1933,36.2
1933.083333,39.3
1933.166667,44.5
1933.25,48.7
1933.333333,54.2
1933.416667,60.8
1933.5,65.5
1933.583333,64.9
1933.666667,60.1
1933.75,50.2
1933.833333,42.1
1933.916667,35.8
1934,39.4
1934.083333,38.2
1934.166667,40.4
1934.25,46.9
1934.333333,53.4
1934.416667,59.6
1934.5,66.5
1934.583333,60.4
1934.666667,59.2
1934.75,51.2
1934.833333,42.8
1934.916667,45.8
1935,40
1935.083333,42.6
1935.166667,43.5
1935.25,47.1
1935.333333,50
1935.416667,60.5
1935.5,64.6
1935.583333,64
1935.666667,56.8
1935.75,48.6
1935.833333,44.2
1935.916667,36.4
1936,37.3
1936.083333,35
1936.166667,44
1936.25,43.9
1936.333333,52.7
1936.416667,58.6
1936.5,60
1936.583333,61.1
1936.666667,58.1
1936.75,49.6
1936.833333,41.6
1936.916667,41.3
1937,40.8
1937.083333,41
1937.166667,38.4
1937.25,47.4
1937.333333,54.1
1937.416667,58.6
1937.5,61.4
1937.583333,61.8
1937.666667,56.3
1937.75,50.9
1937.833333,41.4
1937.916667,37.1
1938,42.1
1938.083333,41.2
1938.166667,47.3
1938.25,46.6
1938.333333,52.4
1938.416667,59
1938.5,59.6
1938.583333,60.4
1938.666667,57
1938.75,50.7
1938.833333,47.8
1938.916667,39.2
1939,39.4
1939.083333,40.9
1939.166667,42.4
1939.25,47.8
1939.333333,52.4
1939.416667,58
1939.5,60.7
1939.583333,61.8
1939.666667,58.2
1939.75,46.7
1939.833333,46.6
1939.916667,37.8